LocationID,Name,Address,City,State,ZipCode,Phone,Chain,Latitude,Longitude
01100002,Kroger - Irmo Station - St Andrews Rd,7467 Saint Andrews Rd,Irmo,SC,29063,8037320423,KROGER,34.085839,-81.186288
01100012,Kroger - Forest Acres,3403 Forest Dr,Columbia,SC,29204,8037380225,KROGER,34.0199676,-80.9912105
01100016,Kroger - Galleria Shopping Center,9610 N Kings Hwy,Myrtle Beach,SC,29572,8434499671,KROGER,33.7770368,-78.7931153
01100020,Kroger - Ocean Plaza,781 Main St,North Myrtle Beach,SC,29582,8432499950,KROGER,33.8265946,-78.6799374
01100025,Kroger - Garden City Beach,2939 S Highway 17,Murrells Inlet,SC,29576,8432357101,KROGER,33.5837914,-79.0125762
01100026,Kroger - Carolina Forest Plaza,3735 Renee Dr,Myrtle Beach,SC,29579,8432737102,KROGER,33.7609408,-78.9663925
01100210,Kroger - Georgetown,4498 Chamblee Dunwoody Rd,Dunwoody,GA,30338,7704518350,KROGER,33.9226262,-84.3159392
01100212,Kroger - Northlake Lavista,3959 Lavista Rd Ste A,Tucker,GA,30084,7709396304,KROGER,33.843398,-84.2558491
01100214,Kroger - Newton Plaza,3139 Highway 278 NE,Covington,GA,30014,7707870724,KROGER,33.6044583,-83.8589644
01100218,Kroger - Clairmont,3855 Buford Hwy NE,Brookhaven,GA,30329,4046336220,KROGER,33.8554106,-84.3135811
01100247,Kroger - Shannon Crossing,4550 Jonesboro Rd,Union City,GA,30291,7709690269,KROGER,33.5657545,-84.5367834
01100255,Kroger - College Station,2301 College Station Rd,Athens,GA,30605,7063538543,KROGER,33.9216927,-83.3438949
01100257,Kroger - Parkway Station,115 Russell Pkwy,Warner Robins,GA,31088,4789229047,KROGER,32.5922284,-83.6255568
01100260,Kroger - Corner Village,300 N Dean Rd,Auburn,AL,36830,3348211325,KROGER,32.6105645,-85.463195
01100265,Kroger - Whitfield Square,1205 N Glenwood Ave,Dalton,GA,30721,7062267998,KROGER,34.792096,-84.9637409
01100291,Kroger - Cherokee Commons,6199 Highway 92,Acworth,GA,30102,7709249102,KROGER,34.0904699,-84.585295
01100294,Kroger - Merchants Village,4115 Columbia Rd,Martinez,GA,30907,7068639635,KROGER,33.5095909,-82.1081989
01100298,Kroger - Ansley Mall,1700 Monroe Dr NE,Atlanta,GA,30324,4048720782,KROGER,33.80054,-84.3730262
01100303,Kroger - Belevedere Citi-Center,3479 Memorial Dr,Decatur,GA,30032,4042865780,KROGER,33.7520033,-84.2693406
01100310,Kroger - Lanett,1401 S Gilmer Ave,Lanett,AL,36863,3346442100,KROGER,32.855689,-85.190821
01100315,Kroger - Banks Crossing,134 Banks Xing,Fayetteville,GA,30214,7704617602,KROGER,33.4690874,-84.4488101
01100318,Kroger - Toco Hills,2205 Lavista Rd NE,Atlanta,GA,30329,4046338694,KROGER,33.815719,-84.31316
01100319,Kroger - Merchants Square,7125 Highway 85,Riverdale,GA,30274,7709962508,KROGER,33.5602882,-84.4160801
01100320,Kroger - Conyers Square,1745 Highway 138 SE STE A,Conyers,GA,30013,7709228753,KROGER,33.6438111,-84.0170068
01100324,Kroger - Orchard Park,2090 Dunwoody Club Dr,Atlanta,GA,30350,7703919035,KROGER,33.9608906,-84.3011506
01100328,Kroger - Baconsfield,660 North Ave,Macon,GA,31211,4787466300,KROGER,32.8507908,-83.6259874
01100335,Kroger - Parkaire Landing,4880 Lower Roswell Rd,Marietta,GA,30068,7709718801,KROGER,33.9651166,-84.4089591
01100339,Kroger - Commerce Square,203 Commerce Ave Ste A,LaGrange,GA,30241,7068836167,KROGER,33.0507213,-85.0217752
01100344,Kroger - Haynes Market,3000 Old Alabama Rd,Alpharetta,GA,30022,7707517384,KROGER,34.0230965,-84.2715981
01100346,Kroger - Howell Mill Square,1715 Howell Mill Rd NW,Atlanta,GA,30318,4043557886,KROGER,33.8018234,-84.4124991
01100350,Kroger - Fountain Oaks,4920 Roswell Rd,Atlanta,GA,30342,4048433080,KROGER,33.8898191,-84.3834045
01100352,Kroger - Lawrenceville Town Center,455 Grayson Hwy,Lawrenceville,GA,30046,7709621063,KROGER,33.9386887,-83.9825989
01100354,Kroger - Crowes Crossing,1232 S Hairston Rd,Stone Mountain,GA,30088,4042926009,KROGER,33.7593679,-84.1950041
01100355,Kroger - Wesleyan Station,4650 Forsyth Rd,Macon,GA,31210,4784747410,KROGER,32.87326,-83.709775
01100356,Kroger - Village Green,3600 Dallas Hwy SW,Marietta,GA,30064,7704240040,KROGER,33.9553155,-84.6562344
01100363,Kroger - Merchants Crossing,48 Bullsboro Dr,Newnan,GA,30263,7702514791,KROGER,33.3849519,-84.7877185
01100364,Kroger - Metropolitan Citi-Center,2685 Metropolitan Pkwy SW,Atlanta,GA,30315,4047617409,KROGER,33.682837,-84.409058
01100365,Kroger - Chastain,3595 Canton Rd,Marietta,GA,30066,7709247930,KROGER,34.0386966,-84.5309268
01100366,Kroger - Park Plaza,3251 Highway 5,Douglasville,GA,30135,7709201880,KROGER,33.719279,-84.7661173
